Feature_ID_j,p value,interaction Type,r_coef,Taxon_j,Confidence_j,Assignment_j,Info_j,Correct_New_No_consensus_j,j_BLAST,Feature_ID_i,Taxon_i,Confidence_i,Assignment_i,Info_i,Correct_New_No_consensus_i,i_BLAST,anonymized_name,j_VMH_match,i_VMH_match,j_AGORA,i_AGORA,j_AGORA_df_index,i_AGORA_df_index
3609545,0.00029997,negative,-0.53708325,f__Lachnospiraceae; g__[Eubacterium]_hallii_group,0.989981362,Silva,Bt producer,C,Anaerobutyricum hallii,4300690,o__Ruminococcaceae; g__Angelakisella; s__Angelakisella massiliensis,0.990999896,GG2,obesity-related dysbiosis,C,Angelakisella massiliensis,M02,Eubacterium hallii DSM 3353; Eubacterium hallii L2-7 ,Ruminococcus champanellensis 18P13,Eubacterium hallii DSM 3353 ,Ruminococcus champanellensis 18P13,255,112
3609545,0.00549945,positive,0.327035197,f__Lachnospiraceae; g__[Eubacterium]_hallii_group,0.989981362,Silva,Bt producer,C,Anaerobutyricum hallii,4447950,g__Bacteroides_H,0.899459934,GG2,health/lower bp associated,N,Bacteroides stercoris,M01,Eubacterium hallii DSM 3353; Eubacterium hallii L2-7 ,Bacteroides stercoris ATCC 43183,Eubacterium hallii DSM 3353 ,Bacteroides stercoris ATCC 43183,255,512
208479,0.00569943,positive,0.272530193,o__Bacteroidales; f__Marinifilaceae; g__Butyricimonas,0.999424721,GG2,"Bt producer, possibly helps with HFD-induced obesity and diabetes, increases GLP-1R",N,Butyricimonas virosa,4045886,d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Fusicatenibacter; s__Fusicatenibacter saccharivorans,0.973445464,GG2,"IBD reduction, possibly health-associated",C,Fusicatenibacter saccharivorans,M01,Butyricimonas virosa DSM 23226,Clostridium bolteae ATCC BAA-613,Butyricimonas virosa DSM 23226,Clostridium bolteae ATCC BAA-613,569,70
208479,0.00389961,positive,0.281005078,o__Bacteroidales; f__Marinifilaceae; g__Butyricimonas,0.999424721,GG2,"Bt producer, possibly helps with HFD-induced obesity and diabetes, increases GLP-1R",N,Butyricimonas virosa,4327141,d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Blautia_A_141781,0.986949461,GG2,"anti-inflammatory, ameliorates obesity and T2D",N,Blautia wexlerae,M01,Butyricimonas virosa DSM 23226,Blautia wexlerae DSM 19850,Butyricimonas virosa DSM 23226,Blautia wexlerae DSM 19850,569,578
208479,0.00279972,positive,0.301316819,o__Bacteroidales; f__Marinifilaceae; g__Butyricimonas,0.999424721,GG2,"Bt producer, possibly helps with HFD-induced obesity and diabetes, increases GLP-1R",N,Butyricimonas virosa,4478815,d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Anaerostipes; s__Anaerostipes hadrus,0.973898248,GG2,Bt producer,C,Anaerostipes hadrus,M01,Butyricimonas virosa DSM 23226,Anaerostipes hadrus DSM 3319,Butyricimonas virosa DSM 23226,Anaerostipes hadrus DSM 3319,569,251
1803030,0.00739926,positive,0.205116021,f__Lachnospiraceae; g__Coprococcus_A_187866,0.728145,GG2,Bt producer,N,Coprococcus catus,4447950,g__Bacteroides_H,0.899459934,GG2,health/lower bp associated,N,Bacteroides stercoris,M01,Coprococcus catus GD/7,Bacteroides stercoris ATCC 43183,Coprococcus catus GD/7,Bacteroides stercoris ATCC 43183,101,512
4242681,0.00619938,positive,0.232580211,f__Lachnospiraceae; g__Bariatricus,0.780120039,GG2,Bt producer,N,Coprococcus comes,2407149,f__Lachnospiraceae; g__Lachnospira; s__Lachnospira eligens,0.967036465,GG2,"anti-inflammatory, possible health benefits",C,Lachnospira eligens,M01,Coprococcus comes ATCC 27758,Eubacterium eligens ATCC 27750,Coprococcus comes ATCC 27758,Eubacterium eligens ATCC 27750,128,171
1504042,0.00779922,negative,-0.428094324,f__Oscillospiraceae_88309; g__Dysosmobacter; s__Dysosmobacter welbionis,0.985153636,GG2,hot topic probiotic,C,Dysosmobacter welbionis,125624,f__Lachnospiraceae; g__UMGS1375; s__UMGS1375 sp900066615,0.88254003,GG2,(M.i.) acetate producer,NC,"[Ruminococcus] lactaris, Murimonas intestini, Mediterraneibacter sp.",F01,NA,,NA,,,
4423553,0.00989901,negative,-0.310638719,f__[Eubacterium]_coprostanoligenes_group; g__[Eubacterium]_coprostanoligenes_group; s__human_gut,0.829305238,GG2,cholesterol reduction,C,Eubacterium coprostanoligenes,176312,f__Lachnospiraceae; g__Lachnospiraceae_ND3007_group,0.986783646,Silva,,NC,"Anthropogastromicrobium aceti, Lachnospiraceae sp.",F01,,,,,,
4423553,0.00479952,negative,-0.34320422,f__[Eubacterium]_coprostanoligenes_group; g__[Eubacterium]_coprostanoligenes_group; s__human_gut,0.829305238,GG2,cholesterol reduction,C,Eubacterium coprostanoligenes,183829,f__[Eubacterium]_coprostanoligenes_group; g__[Eubacterium]_coprostanoligenes_group,0.969828048,Silva,cholesterol reduction,C,Eubacterium coprostanoligenes,F01,,,,,,
